Role,Level,Skills,Resources
AI Specialist,Beginner,"Python Basics, Linear Algebra, Basic Statistics, Data Preprocessing","https://www.coursera.org/specializations/machine-learning, https://www.datacamp.com/courses/intro-to-python-for-data-science, https://www.khanacademy.org/math/statistics-probability"
AI Specialist,Intermediate,"Supervised Learning, SQL, Data Visualization, Model Evaluation","https://www.udacity.com/course/machine-learning-engineer-nanodegree--nd009t, https://www.coursera.org/learn/sql-for-data-science, https://www.datacamp.com/courses/data-visualization-with-python"
AI Specialist,Advanced,"Deep Learning, MLOps, Model Deployment, Cloud Computing (AWS/Azure)","https://www.coursera.org/professional-certificates/deep-learning-specialization, https://www.udacity.com/course/machine-learning-devops-engineer-nanodegree--nd0821, https://aws.amazon.com/machine-learning/"
Machine Learning Engineer,Beginner,"Python Basics, Linear Algebra, Basic Statistics, Data Preprocessing","https://www.coursera.org/specializations/machine-learning, https://www.datacamp.com/courses/intro-to-python-for-data-science, https://www.khanacademy.org/math/statistics-probability"
Machine Learning Engineer,Intermediate,"Supervised Learning, SQL, Data Visualization, Model Evaluation","https://www.udacity.com/course/machine-learning-engineer-nanodegree--nd009t, https://www.coursera.org/learn/sql-for-data-science, https://www.datacamp.com/courses/data-visualization-with-python"
Machine Learning Engineer,Advanced,"Deep Learning, MLOps, Model Deployment, Cloud Computing (AWS/Azure)","https://www.coursera.org/professional-certificates/deep-learning-specialization, https://www.udacity.com/course/machine-learning-devops-engineer-nanodegree--nd0821, https://aws.amazon.com/machine-learning/"
Data Scientist,Beginner,"Python Basics, Linear Algebra, Basic Statistics, Data Preprocessing","https://www.coursera.org/specializations/machine-learning, https://www.datacamp.com/courses/intro-to-python-for-data-science, https://www.khanacademy.org/math/statistics-probability"
Data Scientist,Intermediate,"Supervised Learning, SQL, Data Visualization, Model Evaluation","https://www.udacity.com/course/machine-learning-engineer-nanodegree--nd009t, https://www.coursera.org/learn/sql-for-data-science, https://www.datacamp.com/courses/data-visualization-with-python"
Data Scientist,Advanced,"Deep Learning, MLOps, Model Deployment, Cloud Computing (AWS/Azure)","https://www.coursera.org/professional-certificates/deep-learning-specialization, https://www.udacity.com/course/machine-learning-devops-engineer-nanodegree--nd0821, https://aws.amazon.com/machine-learning/"
NLP Engineer,Beginner,"Python Basics, Linear Algebra, Basic Statistics, Data Preprocessing","https://www.coursera.org/specializations/machine-learning, https://www.datacamp.com/courses/intro-to-python-for-data-science, https://www.khanacademy.org/math/statistics-probability"
NLP Engineer,Intermediate,"Supervised Learning, SQL, Data Visualization, Model Evaluation","https://www.udacity.com/course/machine-learning-engineer-nanodegree--nd009t, https://www.coursera.org/learn/sql-for-data-science, https://www.datacamp.com/courses/data-visualization-with-python"
NLP Engineer,Advanced,"Deep Learning, MLOps, Model Deployment, Cloud Computing (AWS/Azure)","https://www.coursera.org/professional-certificates/deep-learning-specialization, https://www.udacity.com/course/machine-learning-devops-engineer-nanodegree--nd0821, https://aws.amazon.com/machine-learning/"
Computer Vision Engineer,Beginner,"Python Basics, Linear Algebra, Basic Statistics, Data Preprocessing","https://www.coursera.org/specializations/machine-learning, https://www.datacamp.com/courses/intro-to-python-for-data-science, https://www.khanacademy.org/math/statistics-probability"
Computer Vision Engineer,Intermediate,"Supervised Learning, SQL, Data Visualization, Model Evaluation","https://www.udacity.com/course/machine-learning-engineer-nanodegree--nd009t, https://www.coursera.org/learn/sql-for-data-science, https://www.datacamp.com/courses/data-visualization-with-python"
Computer Vision Engineer,Advanced,"Deep Learning, MLOps, Model Deployment, Cloud Computing (AWS/Azure)","https://www.coursera.org/professional-certificates/deep-learning-specialization, https://www.udacity.com/course/machine-learning-devops-engineer-nanodegree--nd0821, https://aws.amazon.com/machine-learning/"
